date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:52	50419/50419	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2001:00:52%20GMT	https://www.shankangke.com/2023/01/17/talk-zh/	./httrack/www.shankangke.com/2023/01/17/talk-zh/index.html	(from https://www.shankangke.com/posts-zh/)
01:00:53	28716/28716	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:00:52%20GMT	https://www.shankangke.com/wp-json/wp/v2/posts/52	./httrack/www.shankangke.com/wp-json/wp/v2/posts/52.json	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:54	2825/2825	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:00:54%20GMT	https://www.shankangke.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.shankangke.com%2F2023%2F01%2F18%2Fyour-security-plan-zh%2F	./httrack/www.shankangke.com/wp-json/oembed/1.0/embedb085.json	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:55	764/764	---M--	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/2023/01/18/your-security-plan-zh/feed/	./httrack/www.shankangke.com/2023/01/18/your-security-plan-zh/feed/index.html	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2001:00:54%20GMT	https://www.shankangke.com/?p=52	./httrack/www.shankangke.com/index4579.html	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:56	3032/3032	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2001:00:55%20GMT	https://www.shankangke.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.shankangke.com%2F2023%2F01%2F18%2Fyour-security-plan-zh%2F&format=xml	./httrack/www.shankangke.com/wp-json/oembed/1.0/embed61ee	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:56	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2026%20Jan%202023%2001:00:56%20GMT	https://www.shankangke.com/xmlrpc.php	./httrack/www.shankangke.com/xmlrpc.php	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:57	2981/2981	---MCZ	200	added ('OK')	application/javascript	etag:W/%22625095f6-ba5%22	https://www.shankangke.com/wp-includes/js/comment-reply.min.js?ver=4225888bc11c4a17b89c52132f080766	./httrack/www.shankangke.com/wp-includes/js/comment-reply.min1bee.js	(from https://www.shankangke.com/2023/01/18/your-security-plan-zh/)
01:00:58	82/82	---MCZ	404	error ('Not%20Found')	application/json	date:Thu,%2026%20Jan%202023%2001:00:58%20GMT	https://www.shankangke.com/wp-json/wp/v2/users/1	./httrack/www.shankangke.com/wp-json/wp/v2/users/1	(from https://www.shankangke.com/zh/author/shankangke/)
01:01:00	5469/5469	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:00%20GMT	https://www.shankangke.com/wp-json/wp/v2/categories/24	./httrack/www.shankangke.com/wp-json/wp/v2/categories/24.json	(from https://www.shankangke.com/category/posts-zh/)
01:01:01	16998/16998	---MC-	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/zh/author/shankangke/feed/	./httrack/www.shankangke.com/zh/author/shankangke/feed/index.html	(from https://www.shankangke.com/zh/author/shankangke/)
01:01:01	16992/16992	---MC-	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/category/posts-zh/feed/	./httrack/www.shankangke.com/category/posts-zh/feed/index.html	(from https://www.shankangke.com/category/posts-zh/)
01:01:02	5421/5421	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:01%20GMT	https://www.shankangke.com/wp-json/wp/v2/tags/32	./httrack/www.shankangke.com/wp-json/wp/v2/tags/32.json	(from https://www.shankangke.com/tag/security-zh/)
01:01:03	5631/5631	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:03%20GMT	https://www.shankangke.com/wp-json/wp/v2/tags/28	./httrack/www.shankangke.com/wp-json/wp/v2/tags/28.json	(from https://www.shankangke.com/tag/eff-zh/)
01:01:04	10691/10691	---MC-	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/tag/security-zh/feed/	./httrack/www.shankangke.com/tag/security-zh/feed/index.html	(from https://www.shankangke.com/tag/security-zh/)
01:01:04	10701/10701	---MC-	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/tag/eff-zh/feed/	./httrack/www.shankangke.com/tag/eff-zh/feed/index.html	(from https://www.shankangke.com/tag/eff-zh/)
01:01:06	5409/5409	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:05%20GMT	https://www.shankangke.com/wp-json/wp/v2/tags/30	./httrack/www.shankangke.com/wp-json/wp/v2/tags/30.json	(from https://www.shankangke.com/tag/privacy-zh/)
01:01:06	10690/10690	---MC-	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/tag/privacy-zh/feed/	./httrack/www.shankangke.com/tag/privacy-zh/feed/index.html	(from https://www.shankangke.com/tag/privacy-zh/)
01:01:07	20735/20735	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:06%20GMT	https://www.shankangke.com/wp-json/wp/v2/posts/34	./httrack/www.shankangke.com/wp-json/wp/v2/posts/34.json	(from https://www.shankangke.com/2023/01/17/talk-zh/)
01:01:09	2625/2625	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:08%20GMT	https://www.shankangke.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.shankangke.com%2F2023%2F01%2F17%2Ftalk-zh%2F	./httrack/www.shankangke.com/wp-json/oembed/1.0/embedfc0d.json	(from https://www.shankangke.com/2023/01/17/talk-zh/)
01:01:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2001:01:08%20GMT	https://www.shankangke.com/?p=34	./httrack/www.shankangke.com/index1e7e.html	(from https://www.shankangke.com/2023/01/17/talk-zh/)
01:01:09	733/733	---M--	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/2023/01/17/talk-zh/feed/	./httrack/www.shankangke.com/2023/01/17/talk-zh/feed/index.html	(from https://www.shankangke.com/2023/01/17/talk-zh/)
01:01:10	2782/2782	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2001:01:09%20GMT	https://www.shankangke.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.shankangke.com%2F2023%2F01%2F17%2Ftalk-zh%2F&format=xml	./httrack/www.shankangke.com/wp-json/oembed/1.0/embedf519	(from https://www.shankangke.com/2023/01/17/talk-zh/)
01:01:11	5448/5448	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2001:01:10%20GMT	https://www.shankangke.com/wp-json/wp/v2/tags/26	./httrack/www.shankangke.com/wp-json/wp/v2/tags/26.json	(from https://www.shankangke.com/tag/paul-graham-zh/)
01:01:12	7108/7108	---MC-	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/tag/paul-graham-zh/feed/	./httrack/www.shankangke.com/tag/paul-graham-zh/feed/index.html	(from https://www.shankangke.com/tag/paul-graham-zh/)
